date,sleepCore,sleepDeep,sleepREM,sleepUnspecified,awake,sleep_sum,sleep_efficiency,deep_rem_ratio,deep_rem_score,sleep_quality,mean_hrv,stepCount,sportTime
2023-09-30,315.0,45.5,109.0,0.0,0.5,470.0,0.9989361702127659,0.329073482428115,0.43024494142705005,77.14596786984795,71.81603333333334,1418,0.0
2023-10-06,355.0,37.0,115.5,0.0,10.5,518.0,0.9797297297297297,0.30049261083743845,0.3349753694581281,72.18279856210891,47.697781818181824,12921,81.0
2023-10-12,314.5,53.5,117.5,0.0,6.0,491.5,0.987792472024415,0.35221421215242016,0.5073807071747338,79.56277660845426,60.560919999999996,8114,49.0
2023-10-13,322.0,34.0,111.5,0.0,41.5,509.0,0.918467583497053,0.31122994652406416,0.3707664884135472,69.93871454636506,42.2719,3610,20.0
2023-10-14,334.5,70.0,140.0,0.0,22.0,566.5,0.9611650485436893,0.3856749311294766,0.6189164370982553,82.42656039655158,64.75998000000001,27,0.0
2023-10-16,382.0,67.5,138.5,0.0,44.5,632.5,0.9296442687747035,0.35034013605442177,0.5011337868480725,75.82400760040511,46.41398,9499,51.0
2023-10-17,299.0,57.5,146.5,0.0,10.5,513.5,0.9795520934761441,0.40556660039761433,0.6852220013253811,86.1820056615839,44.78871818181818,6088,30.0
2023-10-18,342.0,48.5,131.5,0.0,0.0,522.0,1.0,0.3448275862068966,0.48275862068965525,79.3103448275862,44.838975000000005,3974,18.0
2023-10-19,297.0,42.5,97.5,0.0,0.5,437.5,0.9988571428571429,0.32036613272311215,0.4012204424103738,75.98024626784353,42.24694,10601,56.0
2023-10-22,247.5,22.0,78.0,64.0,0.5,412.0,0.9987864077669902,0.28776978417266186,0.2925659472422062,71.62982235570766,44.96718888888889,7042,33.0
2023-10-24,290.0,70.0,124.5,0.0,3.5,488.0,0.992827868852459,0.40144478844169246,0.6714826281389749,86.42897725670653,62.50895,136,0.0
2023-10-27,250.5,47.0,99.5,0.0,5.0,402.0,0.9875621890547264,0.3690176322418136,0.5633921074727121,81.78941564219207,39.63143,7340,21.0
2023-10-30,339.5,51.0,134.0,0.0,26.0,550.5,0.9527702089009991,0.35271687321258344,0.5090562440419448,77.52846229573774,51.53809,2524,12.0
2023-10-31,286.0,60.5,79.0,0.0,52.0,477.5,0.8910994764397906,0.32784958871915393,0.4261652957305131,70.51258041560796,56.04008888888889,2372,10.0
2023-11-01,317.0,35.5,95.0,0.0,22.0,469.5,0.9531416400425985,0.2916201117318436,0.30540037243947865,69.40451330013506,53.22102727272727,5200,18.0
2023-11-02,302.0,35.5,144.0,0.0,12.5,494.0,0.9746963562753036,0.37279335410176534,0.5759778470058845,81.5208952567536,69.8808,602,0.0
2023-11-10,264.0,59.0,74.5,0.0,3.5,401.0,0.9912718204488778,0.33584905660377357,0.4528301886792452,77.58951677410248,36.270633333333336,11051,22.0
2023-11-12,276.0,59.5,115.0,0.0,6.5,457.0,0.9857768052516411,0.3873473917869034,0.6244913059563447,84.12626055335227,36.07683333333333,4706,19.0
2023-11-13,293.0,35.5,81.5,0.0,28.5,438.5,0.935005701254276,0.28536585365853656,0.28455284552845517,67.48245589639477,39.7827,6734,27.0
2023-11-14,327.5,46.0,118.0,0.0,1.5,493.0,0.9969574036511156,0.3336724313326551,0.44557477110885035,77.64043506342095,36.58760769230769,10161,38.0
2023-11-15,269.0,76.0,107.0,0.0,3.0,455.0,0.9934065934065934,0.40486725663716816,0.6828908554572272,86.92002982268468,42.39861111111111,4298,15.0
2023-11-16,287.0,63.0,92.5,0.0,20.0,462.5,0.9567567567567568,0.35141242937853107,0.5047080979284368,77.59372932254288,34.14031,7526,27.0
2023-11-19,263.0,43.0,99.5,0.0,5.0,410.5,0.9878197320341048,0.35141800246609123,0.5047266748869708,79.45825091752512,39.88667777777778,5500,18.0
2023-11-24,267.5,54.5,115.5,0.0,4.0,441.5,0.9909399773499433,0.38857142857142857,0.6285714285714286,84.59925578385375,45.53082307692308,4546,1.0
2023-11-28,272.0,49.0,110.0,0.0,3.0,434.0,0.9930875576036866,0.3689095127610209,0.5630317092034031,82.10652182435733,40.69485454545455,7185,31.0
2023-12-05,268.5,50.0,108.5,0.0,4.0,431.0,0.9907192575406032,0.3711943793911007,0.5706479313036691,82.26907270458295,47.079263636363635,3715,8.0
2023-12-06,317.5,43.0,96.5,0.0,4.0,461.0,0.9913232104121475,0.3052516411378556,0.3508388037928519,73.51294477644294,38.89598888888889,9534,23.0
2024-01-01,356.5,22.5,93.5,0.0,23.5,496.0,0.9526209677419355,0.2455026455026455,0.1516754850088183,63.22427746486886,43.988807692307695,6449,20.0
2024-01-02,309.0,31.0,119.5,0.0,36.0,495.5,0.9273461150353178,0.32752992383025026,0.4250997461008342,72.64475674615242,43.8016,2724,6.0
2024-01-03,330.0,53.0,130.5,0.0,7.5,521.0,0.9856046065259118,0.35735150925024345,0.5245050308341448,80.11647762492049,44.78437272727273,4536,18.0
2024-01-04,346.0,31.5,116.5,0.0,6.5,500.5,0.987012987012987,0.29959514170040485,0.33198380566801616,72.50013144749987,43.63586,2306,7.0
2024-01-05,303.0,34.5,83.0,0.0,17.0,437.5,0.9611428571428572,0.2794292508917955,0.26476416963931826,68.25913821414416,43.042300000000004,52,0.0
2024-01-06,330.5,52.5,103.5,0.0,3.5,490.0,0.9928571428571429,0.32065775950668035,0.4021925316889345,75.65912983898595,45.43296,3499,5.0
2024-01-08,357.0,50.0,151.0,0.0,49.0,607.0,0.9192751235584844,0.3602150537634409,0.5340501792114696,76.51851458196785,39.28492222222222,2808,14.0
2024-02-12,406.0,51.0,129.0,0.0,6.0,592.0,0.9898648648648649,0.30716723549488056,0.35722411831626855,73.68085662454263,58.677225,75,1.0
2024-02-20,228.5,34.5,30.0,0.0,133.5,426.5,0.6869871043376319,0.22013651877133106,0.06712172923777016,43.90409542976872,42.09238333333334,470,1.0
2024-03-20,259.0,29.5,64.0,0.0,8.5,361.0,0.9764542936288089,0.2652482269503546,0.21749408983451532,67.28702121110915,38.940627272727276,10736,21.0
2024-03-24,302.0,40.0,116.5,0.0,5.5,464.0,0.9881465517241379,0.34133042529989094,0.4711014176663031,78.1328498101004,42.471377777777775,2814,3.0
2024-03-25,278.5,85.5,107.0,0.0,8.0,479.0,0.9832985386221295,0.40870488322717624,0.6956829440905875,86.82523008095127,43.86546,6586,15.0
2024-03-26,283.5,49.0,103.5,0.0,4.0,440.0,0.990909090909091,0.34977064220183485,0.4992354740061161,79.4239644147901,36.748,4681,17.0
2024-03-27,274.5,68.0,125.0,0.0,1.5,469.0,0.9968017057569296,0.4128342245989305,0.7094474153297683,88.1859989586065,39.341975,9148,31.0
2024-03-28,293.5,42.0,102.0,0.0,5.0,442.5,0.9887005649717514,0.3291428571428571,0.4304761904761904,76.54108151735271,47.25755384615385,8673,32.0
2024-03-29,302.5,53.0,118.0,0.0,8.0,481.5,0.9833852544132918,0.3611404435058078,0.5371348116860261,80.48850773223856,40.877325,7523,39.0
2024-03-30,296.0,64.5,104.0,0.0,4.0,468.5,0.991462113127001,0.3627556512378902,0.542518837459634,81.18848028600543,33.09366666666667,11496,31.0
2024-03-31,375.0,31.0,109.0,0.0,11.0,526.0,0.9790874524714829,0.27184466019417475,0.23948220064724912,68.32453517417893,43.38104166666667,4639,15.0
2024-04-01,266.5,50.0,76.0,0.0,7.0,399.5,0.9824780976220275,0.32101910828025476,0.40339702760084917,75.08456696135562,41.62459166666667,4522,1.0
2024-04-02,232.0,67.5,105.5,0.0,20.5,425.5,0.9518213866039953,0.4271604938271605,0.757201646090535,87.39734903986111,35.34023333333334,14537,67.0
2024-04-03,328.5,71.5,122.5,0.0,5.5,528.0,0.9895833333333334,0.3712918660287081,0.5709728867623604,82.21391547049441,47.055416666666666,8832,40.0
2024-04-04,299.5,52.5,143.5,0.0,3.5,499.0,0.9929859719438878,0.3955600403632694,0.651866801210898,85.65383036506918,34.98052727272727,5608,26.0
2024-04-05,276.5,59.5,87.5,0.0,5.5,429.0,0.9871794871794872,0.34710743801652894,0.4903581267217631,78.84509429963975,36.348009090909095,13276,51.0
2024-04-07,288.5,41.0,104.0,0.0,2.5,436.0,0.9942660550458715,0.3344867358708189,0.4482891195693963,77.58752808552815,45.62546666666666,5516,9.0
2024-04-08,294.5,42.5,97.0,0.0,13.0,447.0,0.970917225950783,0.32142857142857145,0.4047619047619048,74.44550974752318,34.82278,10045,39.0
2024-04-09,264.5,75.0,92.0,0.0,2.5,434.0,0.9942396313364056,0.3870220162224797,0.6234067207415991,84.5906467098483,34.246900000000004,11213,45.0
2024-04-10,288.0,41.0,99.0,0.0,12.0,440.0,0.9727272727272728,0.32710280373831774,0.4236760124610591,75.31067686207874,32.0690375,2721,1.0
2024-04-11,239.5,44.0,93.5,0.0,2.0,379.0,0.9947229551451188,0.3647214854111406,0.5490716180371352,81.64624203019252,39.661433333333335,1822,0.0
2024-04-12,254.0,69.5,93.5,0.0,5.0,422.0,0.9881516587677726,0.3908872901678657,0.636290967226219,84.7407382151151,32.11065555555555,10787,41.0
2024-04-14,270.0,43.5,71.5,0.0,10.5,395.5,0.9734513274336283,0.2987012987012987,0.32900432900432897,71.56725280619085,31.743158333333337,4770,4.0
2024-04-15,249.5,46.0,87.0,0.0,4.0,386.5,0.9896507115135834,0.3477124183006536,0.49237472766884527,79.07403179756881,36.891241666666666,12780,43.0
2024-04-16,283.5,53.5,98.5,0.0,3.0,438.5,0.9931584948688712,0.34902411021814006,0.49674703406046683,79.45939105455095,40.093691666666665,9521,34.0
2024-04-17,293.0,38.5,90.0,0.0,10.0,431.5,0.9768250289687138,0.30486358244365364,0.3495452748121788,72.59131273060999,36.822072727272726,9617,48.0
2024-04-19,287.5,48.5,123.5,0.0,1.5,461.0,0.9967462039045553,0.37431991294885747,0.5810663764961915,83.04742729412098,36.4168,17129,58.0
2024-04-21,153.5,51.0,62.0,0.0,3.0,269.5,0.9888682745825603,0.42401500938086306,0.7467166979362102,89.20076439240204,38.62283636363637,6634,13.0
2024-04-22,227.0,50.0,100.5,0.0,1.0,378.5,0.9973579920739762,0.39867549668874175,0.6622516556291391,86.33154574960413,42.50019090909091,9724,46.0
2024-04-23,223.0,64.0,89.5,0.0,6.5,383.0,0.9830287206266318,0.4077025232403719,0.692341744134573,86.67539300298081,39.251508333333334,9152,33.0
2024-04-24,288.0,61.0,125.0,0.0,8.0,482.0,0.983402489626556,0.3924050632911392,0.6413502109704641,84.65815781641192,49.56404,9450,39.0
2024-04-25,260.0,42.5,118.5,0.0,11.5,432.5,0.9734104046242774,0.3824228028503563,0.6080760095011877,82.72766465750415,41.89350909090909,4052,5.0
2024-04-26,221.5,53.5,105.5,0.0,10.5,391.0,0.9731457800511509,0.4178712220762155,0.7262374069207184,87.43824307989779,36.98536363636364,12565,47.0
2024-04-28,252.5,75.0,120.5,0.0,6.0,454.0,0.986784140969163,0.43638392857142855,0.7879464285714285,90.72490560100692,46.64549090909091,8070,40.0
2024-04-29,267.0,71.0,90.5,0.0,3.5,432.0,0.9918981481481481,0.37689614935822635,0.5896538311940879,83.1000421366524,34.53002727272727,10984,58.0
2024-04-30,260.5,70.0,119.0,0.0,4.0,453.5,0.9911797133406836,0.42046718576195774,0.7348906192065258,88.86640756870204,48.61622222222222,7017,35.0
2024-05-01,278.0,58.0,110.5,0.0,3.5,450.0,0.9922222222222222,0.37737961926091823,0.5912653975363941,83.18394923478908,42.3069,1764,0.0
2024-05-02,296.0,32.0,126.5,0.0,3.5,458.0,0.99235807860262,0.3487348734873487,0.4957829116244957,79.37280118113704,46.89554166666667,3786,4.0
2024-05-03,263.5,46.0,104.5,0.0,1.0,415.0,0.9975903614457832,0.3635265700483092,0.5450885668276972,81.65896435985488,38.37229,8860,36.0
2024-05-05,283.0,40.5,94.0,0.0,4.0,421.5,0.9905100830367735,0.3221556886227545,0.407185628742515,75.71803013190701,42.40904166666667,3031,0.0
2024-05-06,252.5,29.0,93.5,0.0,8.5,383.5,0.9778357235984355,0.32666666666666666,0.42222222222222217,75.55903230479501,35.11743636363636,12760,55.0
2024-05-08,252.0,43.0,117.0,0.0,1.5,413.5,0.9963724304715841,0.3883495145631068,0.627831715210356,84.8956144367093,45.64886,10108,41.0
2024-05-09,255.5,56.0,138.5,0.0,8.0,458.0,0.982532751091703,0.43222222222222223,0.7740740740740741,89.91492802846514,30.52248,5692,21.0
2024-05-10,250.0,37.5,101.0,0.0,2.0,390.5,0.9948783610755442,0.3564993564993565,0.5216645216645216,80.55928253111351,39.50275714285714,4044,6.0
2024-05-12,229.0,62.0,72.0,0.0,0.0,363.0,1.0,0.3691460055096419,0.5638200183654729,82.55280073461891,36.637991666666665,7417,8.0
2024-05-13,232.0,64.5,84.0,0.0,4.5,385.0,0.9883116883116884,0.3902759526938239,0.6342531756460797,84.66882832454449,34.02216,8585,39.0
2024-05-14,274.5,48.0,105.5,0.0,6.5,434.5,0.9850402761795167,0.35864485981308414,0.5288161993769471,80.25506454584888,39.639223076923074,11658,44.0
2024-05-15,316.0,44.0,104.0,0.0,3.5,467.5,0.9925133689839573,0.31896551724137934,0.3965517241379311,75.41287110455468,35.58299090909091,8625,39.0
2024-05-17,283.0,46.0,75.5,0.0,4.5,409.0,0.988997555012225,0.3003708281829419,0.33456942727647304,72.7226303917924,34.69273,17629,74.0
2024-05-20,211.0,79.0,77.5,0.0,1.5,369.0,0.9959349593495935,0.42585034013605444,0.7528344671201814,89.86947624578286,37.72537272727273,2838,5.0
2024-05-21,218.5,75.0,83.0,0.0,2.0,378.5,0.9947159841479525,0.4196547144754316,0.7321823815847721,88.97025431226804,39.817400000000006,8021,39.0
2024-05-22,222.5,38.0,97.0,0.0,2.0,359.5,0.9944367176634215,0.3776223776223776,0.592074592074592,83.34918674278897,37.40400909090909,2326,0.0
2024-05-23,285.0,80.5,100.5,0.0,2.5,468.5,0.9946638207043756,0.388412017167382,0.6280400572246067,84.8014315312468,45.271428571428565,1031,1.0
2024-05-24,265.0,57.0,110.0,0.0,5.5,437.5,0.9874285714285714,0.38657407407407407,0.6219135802469136,84.12225749559083,37.164063636363636,11168,37.0
2024-05-27,255.0,70.5,112.5,0.0,3.0,441.0,0.9931972789115646,0.4178082191780822,0.726027397260274,88.63293262510483,38.287958333333336,9574,46.0
2024-05-28,179.0,71.5,97.0,0.0,3.5,351.0,0.99002849002849,0.4848920863309353,0.9496402877697843,97.38732091250077,50.38118333333333,12331,57.0
2024-05-29,261.5,46.5,86.5,0.0,2.5,397.0,0.9937027707808564,0.33713561470215464,0.45711871567384876,77.90691487380533,36.38708181818182,10907,58.0
2024-05-30,304.5,18.5,146.5,0.0,8.5,478.0,0.9822175732217573,0.3514376996805112,0.5047923322683706,79.12474768404026,44.33830909090909,8105,41.0
2024-05-31,243.0,48.5,110.5,0.0,7.5,409.5,0.9816849816849816,0.39552238805970147,0.6517412935323382,84.97075064239242,52.61245454545454,21084,69.0
2024-06-01,194.0,81.0,112.0,0.0,7.5,394.5,0.9809885931558935,0.49870801033591733,0.9956933677863911,98.68705030080925,42.155722222222224,11772,61.0
2024-06-02,230.0,43.0,70.0,0.0,0.5,343.5,0.9985443959243085,0.3294460641399417,0.4314868804664723,77.1721389741174,39.740341666666666,5960,24.0
2024-06-03,223.5,72.0,104.0,0.0,3.5,403.0,0.9913151364764268,0.4405506883604506,0.8018356278681686,91.55233330331235,51.11743333333334,9665,42.0
2024-06-04,219.0,61.5,87.5,0.0,3.0,371.0,0.9919137466307277,0.4048913043478261,0.6829710144927537,86.8336653775538,48.81477777777778,8521,46.0
2024-06-05,242.5,63.0,113.5,0.0,5.0,424.0,0.9882075471698113,0.4212410501193317,0.737470167064439,88.79125951276625,43.62622727272728,8078,35.0
2024-06-06,233.5,48.5,83.5,0.0,57.0,422.5,0.8650887573964497,0.36114911080711354,0.5371637026903785,73.39187355140213,43.00204545454545,15358,55.0
2024-06-07,231.0,60.0,106.5,0.0,4.0,401.5,0.9900373599003736,0.4188679245283019,0.729559748427673,88.58463153112933,42.68166363636364,15033,47.0
2024-06-08,203.0,66.0,45.0,0.0,4.0,318.0,0.9874213836477987,0.3535031847133758,0.5116772823779192,79.7123743139847,48.3801625,11025,49.0
2024-06-09,233.5,80.5,64.5,0.0,3.0,381.5,0.9921363040629095,0.38309114927344784,0.6103038309114928,83.94033148023428,54.09551111111111,2262,1.0
2024-06-10,263.5,58.0,83.5,0.0,2.0,407.0,0.995085995085995,0.3493827160493827,0.4979423868312757,79.62285517841073,36.24237,9602,47.0
2024-06-11,239.5,47.0,101.0,0.0,1.5,389.0,0.9961439588688946,0.38193548387096776,0.6064516129032259,84.02670204826272,33.874981818181816,10455,46.0
2024-06-12,258.0,48.0,123.5,0.0,5.5,435.0,0.9873563218390805,0.39930151338766007,0.6643383779588669,85.81491442869951,36.64358181818182,9820,46.0
2024-06-13,233.0,45.0,123.0,0.0,2.0,403.0,0.9950372208436724,0.41895261845386533,0.7298420615128844,88.89591571113571,36.623875,12676,60.0
2024-06-15,230.0,54.0,86.0,0.0,0.5,370.5,0.9986504723346828,0.3783783783783784,0.5945945945945946,83.70281212386476,32.545925000000004,5822,14.0
2024-06-17,236.0,67.5,94.0,0.0,3.5,401.0,0.9912718204488778,0.40628930817610065,0.6876310272536689,86.98155031707941,30.977155555555555,9036,49.0
2024-06-18,228.0,56.0,90.5,0.0,5.0,379.5,0.9868247694334651,0.39118825100133514,0.6372941700044504,84.70125296618592,33.883475,8668,40.0
2024-06-19,264.5,30.0,104.5,0.0,5.0,404.0,0.9876237623762376,0.33709273182957394,0.4569757727652465,77.53645665318412,34.07141818181818,11819,35.0
2024-06-20,233.0,48.5,109.5,0.0,3.5,394.5,0.991128010139417,0.4040920716112532,0.680306905370844,86.67995682319878,38.496463636363636,11785,58.0
2024-06-21,252.0,55.5,94.5,0.0,5.5,407.5,0.9865030674846625,0.373134328358209,0.5771144278606966,82.27476116350762,33.0078,18409,63.0
2024-06-22,273.5,59.5,74.5,0.0,5.0,412.5,0.9878787878787879,0.32883435582822085,0.42944785276073616,76.45064138315672,47.13899166666667,11875,42.0
2024-06-23,204.0,59.5,93.5,0.0,1.5,358.5,0.99581589958159,0.42857142857142855,0.7619047619047619,90.22514445108588,40.00932727272727,4428,8.0
2024-06-24,245.5,73.5,104.5,0.0,2.0,425.5,0.9952996474735605,0.4203069657615112,0.7343565525383707,89.09224094994845,58.10213636363637,9546,36.0
2024-06-25,231.0,46.0,117.0,0.0,1.5,395.5,0.9962073324905183,0.4137055837563452,0.712351945854484,88.26651778361045,42.1627,8875,44.0
2024-06-26,254.0,67.5,86.5,0.0,5.0,413.0,0.9878934624697336,0.37745098039215685,0.5915032679738562,82.93373846713827,34.59833636363636,10577,40.0
2024-06-27,199.0,99.5,109.5,0.0,0.0,408.0,1.0,0.5122549019607843,1.0,100.0,36.92378,13040,65.0
2024-06-29,269.5,42.5,95.5,0.0,2.0,409.5,0.9951159951159951,0.33865030674846625,0.46216768916155415,78.19366727342188,38.72451818181818,5089,7.0
2024-06-30,208.5,66.0,63.0,0.0,37.5,375.0,0.9,0.38222222222222224,0.6074074074074075,78.2962962962963,43.469344444444445,1559,0.0
